transaction_id,transaction_datetime,amount,transaction_type,national_id,invoice_number,status,platform_id
TXN001,2024-06-01 10:00:00,38940,Pago de Factura,149186547,FAC7068,Pending,1
TXN002,2024-07-09 12:00:00,75145,Pago de Factura,475925688,FAC6577,Pending,2
TXN003,2024-06-13 10:00:00,179217,Pago de Factura,112231541,FAC5707,Failed,2
TXN004,2024-07-26 13:00:00,51767,Pago de Factura,708283326,FAC7188,Failed,2
TXN005,2024-07-28 06:00:00,156501,Pago de Factura,959234562,FAC7289,Completed,2
TXN006,2024-07-16 21:00:00,32428,Pago de Factura,243553915,FAC2190,Completed,1
TXN007,2024-07-26 22:00:00,75301,Pago de Factura,7005498,FAC6207,Pending,2
TXN008,2024-06-17 16:00:00,16870,Pago de Factura,724330039,FAC1691,Pending,1
TXN009,2024-07-10 23:00:00,21794,Pago de Factura,643387222,FAC4680,Failed,1
TXN010,2024-06-19 23:00:00,193307,Pago de Factura,215716832,FAC8010,Completed,2
TXN011,2024-06-01 06:00:00,159093,Pago de Factura,92651576,FAC1328,Completed,2
TXN012,2024-07-12 19:00:00,174518,Pago de Factura,724488250,FAC8140,Pending,1
TXN013,2024-07-04 12:00:00,110254,Pago de Factura,265881315,FAC4679,Failed,2
TXN014,2024-07-12 04:00:00,162283,Pago de Factura,401149568,FAC3589,Pending,1
TXN015,2024-06-21 12:00:00,22161,Pago de Factura,778029406,FAC6122,Pending,2
TXN016,2024-07-08 12:00:00,195775,Pago de Factura,307805784,FAC4870,Pending,2
TXN017,2024-06-27 03:00:00,20824,Pago de Factura,484837788,FAC5322,Failed,1
TXN018,2024-07-09 05:00:00,191134,Pago de Factura,962795476,FAC8663,Completed,1
TXN019,2024-06-16 20:00:00,62979,Pago de Factura,965030358,FAC4380,Completed,2
TXN020,2024-06-08 22:00:00,36472,Pago de Factura,644042817,FAC5128,Failed,2
TXN021,2024-06-16 06:00:00,127881,Pago de Factura,689720635,FAC7986,Completed,1
TXN022,2024-07-30 03:00:00,26317,Pago de Factura,800125157,FAC7543,Failed,2
TXN023,2024-07-27 01:00:00,147364,Pago de Factura,268619593,FAC7964,Pending,1
TXN024,2024-06-26 01:00:00,153404,Pago de Factura,625774276,FAC1309,Pending,2
TXN025,2024-07-07 10:00:00,14210,Pago de Factura,569906245,FAC8025,Completed,1
TXN026,2024-06-08 19:00:00,49012,Pago de Factura,328037408,FAC8943,Completed,2
TXN027,2024-06-28 06:00:00,40302,Pago de Factura,969677194,FAC1190,Failed,2
TXN028,2024-07-03 01:00:00,27833,Pago de Factura,796337665,FAC4264,Pending,2
TXN029,2024-07-29 02:00:00,30313,Pago de Factura,636808209,FAC1462,Failed,1
TXN030,2024-07-26 20:00:00,134884,Pago de Factura,975617669,FAC6381,Failed,2
TXN031,2024-07-03 10:00:00,28982,Pago de Factura,569390187,FAC8571,Completed,1
TXN032,2024-06-15 17:00:00,158030,Pago de Factura,325459789,FAC7018,Pending,1
TXN033,2024-06-24 08:00:00,196009,Pago de Factura,325603096,FAC4082,Failed,2
TXN034,2024-06-22 17:00:00,68526,Pago de Factura,819212515,FAC5756,Pending,2
TXN035,2024-06-23 12:00:00,165287,Pago de Factura,444056964,FAC9278,Completed,1
TXN036,2024-06-28 11:00:00,178265,Pago de Factura,717643055,FAC6223,Failed,1
TXN037,2024-07-23 18:00:00,98069,Pago de Factura,30122773,FAC8510,Completed,1
TXN038,2024-07-28 00:00:00,153150,Pago de Factura,622536043,FAC4305,Completed,1
TXN039,2024-06-05 12:00:00,86902,Pago de Factura,747822485,FAC9358,Pending,2
TXN040,2024-06-28 04:00:00,96457,Pago de Factura,857630459,FAC1208,Pending,1
TXN041,2024-06-07 20:00:00,145586,Pago de Factura,204909440,FAC5492,Failed,2
TXN042,2024-07-15 19:00:00,163425,Pago de Factura,241114561,FAC6585,Failed,1
TXN043,2024-07-26 02:00:00,186218,Pago de Factura,494808313,FAC2187,Pending,1
TXN044,2024-07-12 01:00:00,159000,Pago de Factura,315164793,FAC7545,Failed,2
TXN045,2024-07-21 21:00:00,94554,Pago de Factura,505327194,FAC9699,Pending,2
TXN046,2024-07-26 11:00:00,152659,Pago de Factura,892962448,FAC2512,Failed,2
TXN047,2024-06-05 17:00:00,165021,Pago de Factura,394523505,FAC1330,Pending,2
TXN048,2024-06-10 10:00:00,115066,Pago de Factura,763963140,FAC9310,Completed,2
TXN049,2024-06-03 20:00:00,161029,Pago de Factura,594590875,FAC9524,Completed,2
TXN050,2024-07-29 03:00:00,167924,Pago de Factura,25832528,FAC7938,Completed,1
TXN051,2024-07-24 19:00:00,147991,Pago de Factura,97866586,FAC8649,Pending,2
TXN052,2024-07-26 11:00:00,124048,Pago de Factura,79987146,FAC4348,Completed,1
TXN053,2024-07-13 23:00:00,138162,Pago de Factura,520620439,FAC9905,Completed,1
TXN054,2024-06-28 00:00:00,161137,Pago de Factura,260613460,FAC5210,Failed,1
TXN055,2024-06-17 03:00:00,35669,Pago de Factura,511962082,FAC8033,Failed,2
TXN056,2024-07-06 07:00:00,67867,Pago de Factura,527088924,FAC7850,Failed,1
TXN057,2024-07-25 20:00:00,58242,Pago de Factura,181982363,FAC7378,Failed,1
TXN058,2024-06-09 20:00:00,113319,Pago de Factura,87147005,FAC3104,Pending,1
TXN059,2024-07-11 23:00:00,37708,Pago de Factura,623072602,FAC2382,Completed,2
TXN060,2024-07-20 16:00:00,54969,Pago de Factura,729577216,FAC6022,Pending,1
TXN061,2024-07-08 23:00:00,51411,Pago de Factura,696739719,FAC3529,Completed,2
TXN062,2024-07-17 05:00:00,45233,Pago de Factura,520971718,FAC1856,Completed,1
TXN063,2024-06-10 01:00:00,99926,Pago de Factura,785949232,FAC5678,Failed,1
TXN064,2024-06-20 12:00:00,31572,Pago de Factura,519768710,FAC7474,Completed,1
TXN065,2024-06-14 03:00:00,123720,Pago de Factura,64271785,FAC9956,Pending,1
TXN066,2024-07-29 14:00:00,17171,Pago de Factura,357901640,FAC7570,Failed,2
TXN067,2024-07-23 09:00:00,56259,Pago de Factura,830210363,FAC2909,Failed,2
TXN068,2024-06-20 22:00:00,196548,Pago de Factura,696962875,FAC2139,Failed,2
TXN069,2024-06-20 18:00:00,93635,Pago de Factura,896950954,FAC8752,Completed,2
TXN070,2024-07-15 21:00:00,58585,Pago de Factura,196811583,FAC8107,Completed,2
TXN071,2024-06-06 18:00:00,86244,Pago de Factura,893866597,FAC7475,Completed,2
TXN072,2024-07-18 20:00:00,55572,Pago de Factura,291010345,FAC3660,Failed,1
TXN073,2024-06-21 06:00:00,50713,Pago de Factura,915064128,FAC9573,Failed,1
TXN074,2024-06-29 18:00:00,129480,Pago de Factura,11426912,FAC2238,Completed,1
TXN075,2024-07-03 20:00:00,41657,Pago de Factura,174039328,FAC6979,Completed,2
TXN076,2024-06-15 11:00:00,126084,Pago de Factura,565067343,FAC8740,Completed,2
TXN077,2024-06-04 07:00:00,190936,Pago de Factura,333387701,FAC9872,Failed,1
TXN078,2024-06-21 21:00:00,78561,Pago de Factura,355405632,FAC9634,Failed,1
TXN079,2024-07-23 11:00:00,162844,Pago de Factura,71585472,FAC9210,Completed,1
TXN080,2024-06-29 15:00:00,80235,Pago de Factura,708960117,FAC3888,Failed,1
TXN081,2024-06-18 00:00:00,158138,Pago de Factura,626043010,FAC7110,Pending,2
TXN082,2024-06-06 15:00:00,101593,Pago de Factura,326481119,FAC5649,Pending,2
TXN083,2024-06-22 03:00:00,103741,Pago de Factura,599800533,FAC1490,Pending,2
TXN084,2024-07-04 02:00:00,41300,Pago de Factura,492953650,FAC5439,Pending,2
TXN085,2024-06-19 11:00:00,89956,Pago de Factura,573712035,FAC4962,Completed,2
TXN086,2024-07-13 05:00:00,165402,Pago de Factura,56103750,FAC8801,Completed,1
TXN087,2024-07-04 09:00:00,106689,Pago de Factura,867865303,FAC1904,Pending,1
TXN088,2024-06-14 11:00:00,22411,Pago de Factura,355813998,FAC7503,Completed,1
TXN089,2024-06-27 05:00:00,11359,Pago de Factura,118434130,FAC7561,Pending,2
TXN090,2024-06-08 10:00:00,79808,Pago de Factura,779362405,FAC5390,Pending,1
TXN091,2024-07-05 21:00:00,42648,Pago de Factura,499561637,FAC1760,Pending,1
TXN092,2024-06-03 05:00:00,101468,Pago de Factura,179287266,FAC3395,Pending,2
TXN093,2024-06-21 17:00:00,115488,Pago de Factura,667230218,FAC1926,Pending,2
TXN094,2024-07-26 00:00:00,61920,Pago de Factura,311310607,FAC7521,Completed,2
TXN095,2024-07-23 20:00:00,141510,Pago de Factura,319413369,FAC6693,Failed,1
TXN096,2024-07-08 19:00:00,39792,Pago de Factura,861461933,FAC1513,Pending,2
TXN097,2024-07-09 05:00:00,87689,Pago de Factura,61660425,FAC3039,Completed,2
TXN098,2024-07-06 00:00:00,178739,Pago de Factura,603449840,FAC3709,Failed,1
TXN099,2024-07-27 10:00:00,105611,Pago de Factura,917844640,FAC3914,Failed,2
